filepath,label
dataset_fyp1\acne\acne-10_jpeg.rf.1a5742dc70d2abc4799e0ce84795741b.jpg,acne
dataset_fyp1\acne\acne-10_jpeg.rf.a47703e8c466062380bdd7cda41fae2b.jpg,acne
dataset_fyp1\acne\acne-10_jpeg.rf.f27748da2520545eba9ebcd7e0dc6482.jpg,acne
dataset_fyp1\acne\acne-110_jpeg.rf.30388309b832a1dbcd9f74e88a6d80c7.jpg,acne
dataset_fyp1\acne\acne-110_jpeg.rf.ac46f2b20c3b01cd908ca6e33f7c8b0a.jpg,acne
dataset_fyp1\acne\acne-110_jpeg.rf.b2e331d513bdc74cab2a514eb157444c.jpg,acne
dataset_fyp1\acne\acne-111_jpeg.rf.5305be8df8fc4bac0f9d4473e75ce446.jpg,acne
dataset_fyp1\acne\acne-111_jpeg.rf.5898ddc66916835400974fe91faa2127.jpg,acne
dataset_fyp1\acne\acne-111_jpeg.rf.d2f96fc4bb37d79f182ff62b6c21203f.jpg,acne
dataset_fyp1\acne\acne-112-_jpeg_jpg.rf.914f9d4322dc16bb751b7fe7a9264abe.jpg,acne
dataset_fyp1\acne\acne-112_jpeg.rf.a03c796422719e964f46be1c118861bc.jpg,acne
dataset_fyp1\acne\acne-113_jpeg.rf.61f34253768c2c2d90f282009cc85cc1.jpg,acne
dataset_fyp1\acne\acne-114-_jpg.rf.321defb577e748296edaea5736c96c4b.jpg,acne
dataset_fyp1\acne\acne-114_jpeg.rf.05500969621c6ec1a2720c8113a7f730.jpg,acne
dataset_fyp1\acne\acne-114_jpeg.rf.8886a0bfd6aae22e7a0d23fa689f93e0.jpg,acne
dataset_fyp1\acne\acne-114_jpeg.rf.faab857cd0fe501cd0ee008b2d5e5d8d.jpg,acne
dataset_fyp1\acne\acne-115-_jpg.rf.07b4993c0a176a5795d55f74edbee008.jpg,acne
dataset_fyp1\acne\acne-115_jpeg.rf.1c4b3100bd61c3be8b101094633f80e0.jpg,acne
dataset_fyp1\acne\acne-117_jpeg.rf.5fca45225c32ea524aa8635eeaca17da.jpg,acne
dataset_fyp1\acne\acne-117_jpeg.rf.86e15ada642e029c7a3adf6e3abd3165.jpg,acne
dataset_fyp1\acne\acne-117_jpeg.rf.fdd8632240a042f20703a454d7ca8c49.jpg,acne
dataset_fyp1\acne\acne-118_jpg.rf.2146315fc7eedcc8269c3855a055f362.jpg,acne
dataset_fyp1\acne\acne-118_jpg.rf.5ac494ffe6003d136d78802a2e018b93.jpg,acne
dataset_fyp1\acne\acne-118_jpg.rf.a950e2e85bfac5233bc29a1409733d67.jpg,acne
dataset_fyp1\acne\acne-11_jpeg.rf.7371382ec505972eb878bf9f4765b068.jpg,acne
dataset_fyp1\acne\acne-120_jpg.rf.05d2df98b09a59455e77d06fb330a261.jpg,acne
dataset_fyp1\acne\acne-120_jpg.rf.59864fcc325d7c476b1d4276551aa0dd.jpg,acne
dataset_fyp1\acne\acne-120_jpg.rf.83c70d65304fb3bac6fe6e3451d957e7.jpg,acne
dataset_fyp1\acne\acne-121_jpg.rf.fda929f19402573163ffba906f3509ac.jpg,acne
dataset_fyp1\acne\acne-122_jpg.rf.457449f3ea61b059c8755a833cba36e4.jpg,acne
dataset_fyp1\acne\acne-122_jpg.rf.79832d3e5a9fd4a65ababe273ed29bf1.jpg,acne
dataset_fyp1\acne\acne-122_jpg.rf.a860a2e44e12167136417be251d78f13.jpg,acne
dataset_fyp1\acne\acne-123_jpg.rf.094991fa4eca4fe9d2414c139380c767.jpg,acne
dataset_fyp1\acne\acne-123_jpg.rf.29fdc29e00ae4036bda03345c84e75ec.jpg,acne
dataset_fyp1\acne\acne-123_jpg.rf.2cb8c9deb32b0e5378694e4bc095b86a.jpg,acne
dataset_fyp1\acne\acne-124_jpg.rf.73ff92c9fdf0de6950c164b655222df2.jpg,acne
dataset_fyp1\acne\acne-124_jpg.rf.a52e9bb1cd7855d1372d7dd0813be8e1.jpg,acne
dataset_fyp1\acne\acne-124_jpg.rf.bbcd091cc245577f49f472276987041e.jpg,acne
dataset_fyp1\acne\acne-125_jpg.rf.2612211b3bedfab30f3c1917dba2de98.jpg,acne
dataset_fyp1\acne\acne-125_jpg.rf.5514716e1ee3faa1692e38c275afe7a1.jpg,acne
dataset_fyp1\acne\acne-125_jpg.rf.dc9c441370bb9fdb7c992c7e422c8003.jpg,acne
dataset_fyp1\acne\acne-126_jpg.rf.5b0e9e4d04ae70075efeaee8971a48aa.jpg,acne
dataset_fyp1\acne\acne-126_jpg.rf.efe7936850eb9c5f1327b1a589d5ed43.jpg,acne
dataset_fyp1\acne\acne-126_jpg.rf.fbdc0b939629752826f95b54f75a9eb0.jpg,acne
dataset_fyp1\acne\acne-127_jpg.rf.6626a950f608a09a2ffcb87fd5922402.jpg,acne
dataset_fyp1\acne\acne-127_jpg.rf.d3d5ce301ca715b9f7d0987c5493a249.jpg,acne
dataset_fyp1\acne\acne-127_jpg.rf.f448d7470b4d04d0576302eefabed949.jpg,acne
dataset_fyp1\acne\acne-128_jpg.rf.e3826584d02398d0f1d915cf3365a959.jpg,acne
dataset_fyp1\acne\acne-129_jpg.rf.27d7bc358ff1e9d29a12c68dfec19376.jpg,acne
dataset_fyp1\acne\acne-129_jpg.rf.85ebf681f94e9d884aa5fffd377c2546.jpg,acne
dataset_fyp1\acne\acne-129_jpg.rf.d6c0893bc17939313d41a77c07d116dd.jpg,acne
dataset_fyp1\acne\acne-12_jpeg.rf.105ac91692b51b2e48ac949a5f0ef9a0.jpg,acne
dataset_fyp1\acne\acne-12_jpeg.rf.28444ad5ce2ac27bc0ce6ed17f8e6ec0.jpg,acne
dataset_fyp1\acne\acne-12_jpeg.rf.a8b0e9276a6914edc03a7e3def427bf2.jpg,acne
dataset_fyp1\acne\acne-131_jpg.rf.116f58db510524f94237b01e37f3a16f.jpg,acne
dataset_fyp1\acne\acne-132_jpg.rf.c9f114843c7af28e5632ae8fe25baf67.jpg,acne
dataset_fyp1\acne\acne-132_jpg.rf.f63fe21b456337795ceeaba4913f7bae.jpg,acne
dataset_fyp1\acne\acne-132_jpg.rf.fd88a44d5548b168dd391f49079d5c81.jpg,acne
dataset_fyp1\acne\acne-133_jpg.rf.6db7d5e9aba6f4de4253e2100ab6ffbc.jpg,acne
dataset_fyp1\acne\acne-133_jpg.rf.a36b84143c4c700d8160a3283f498c03.jpg,acne
dataset_fyp1\acne\acne-133_jpg.rf.d5a2596cbb19ae009ce2659b3104dba1.jpg,acne
dataset_fyp1\acne\acne-134_jpg.rf.417c82e7063a6160461440b5758b9993.jpg,acne
dataset_fyp1\acne\acne-135_jpg.rf.042025713da3de0b88f75367822f27a0.jpg,acne
dataset_fyp1\acne\acne-136_jpg.rf.3e73b4689794a339be8e23f11d08fc37.jpg,acne
dataset_fyp1\acne\acne-136_jpg.rf.b329d76c1d4f9f0d1d68526134fe04c6.jpg,acne
dataset_fyp1\acne\acne-136_jpg.rf.bcf7437fb066a95c7f159436df6c7c27.jpg,acne
dataset_fyp1\acne\acne-13_jpeg.rf.430d2e3c8e293872afb2dbaa8ff80c66.jpg,acne
dataset_fyp1\acne\acne-13_jpeg.rf.6bccdd195b2e284d78717dccf8333266.jpg,acne
dataset_fyp1\acne\acne-13_jpeg.rf.a5f9a647b82ba14238855de41ce76a2f.jpg,acne
dataset_fyp1\acne\acne-140_jpg.rf.785b2c29676c422c6a1cdbe6708f86e8.jpg,acne
dataset_fyp1\acne\acne-141_jpg.rf.056aa3399307f077aa37f49ff94c27f4.jpg,acne
dataset_fyp1\acne\acne-141_jpg.rf.cbd1d13c72ff4f3e3b8f23419526f5df.jpg,acne
dataset_fyp1\acne\acne-141_jpg.rf.fb1199324075ca9348337d6357f172de.jpg,acne
dataset_fyp1\acne\acne-142_jpg.rf.9ffefe2ae2611433749ba9e3198ce75e.jpg,acne
dataset_fyp1\acne\acne-144_jpg.rf.e7404e17167235e55bc46e5c3914e22f.jpg,acne
dataset_fyp1\acne\acne-145-_jpg.rf.eb73eb36af230e8252c01a812c48487f.jpg,acne
dataset_fyp1\acne\acne-145_jpg.rf.0a5ef2e06e9910a40d972dca98b41eef.jpg,acne
dataset_fyp1\acne\acne-146_jpg.rf.3e4e3a8e1eb143a51e83f89d27a89523.jpg,acne
dataset_fyp1\acne\acne-146_jpg.rf.ad8dd4f3dbbff83b7a2081bfbf2fee4e.jpg,acne
dataset_fyp1\acne\acne-146_jpg.rf.d16e73f57f12a54ebed2f820032498a9.jpg,acne
dataset_fyp1\acne\acne-147_jpg.rf.7ab83e752d29e1cb1efc428fb26f4b62.jpg,acne
dataset_fyp1\acne\acne-147_jpg.rf.b9bc95a6617b86d57c6fa510d8be42ce.jpg,acne
dataset_fyp1\acne\acne-147_jpg.rf.df99460615cf952c2e4a9a73f970be69.jpg,acne
dataset_fyp1\acne\acne-149_jpg.rf.03e8887e9c8de1c1f12b9d147d0dda17.jpg,acne
dataset_fyp1\acne\acne-14_jpeg.rf.147d68756bf7b24c32159f65a026346d.jpg,acne
dataset_fyp1\acne\acne-14_jpeg.rf.5bf6350d3c711ff63cde1f6b9a203518.jpg,acne
dataset_fyp1\acne\acne-14_jpeg.rf.ce37e344b5f0d2c1aeed3f330eaf47f7.jpg,acne
dataset_fyp1\acne\acne-150-_jpeg_jpg.rf.0770fbd8f6b20b3467ba435248610b97.jpg,acne
dataset_fyp1\acne\acne-150_jpg.rf.ffcc725634ec3221b86686905e57e399.jpg,acne
dataset_fyp1\acne\acne-151_jpg.rf.638c693eb9342b4800bd8b1758e566e1.jpg,acne
dataset_fyp1\acne\acne-153_jpg.rf.26750acfcfc53810f96cae56aa2c4462.jpg,acne
dataset_fyp1\acne\acne-153_jpg.rf.8210a6358070fc5da9611aac95957b0f.jpg,acne
dataset_fyp1\acne\acne-153_jpg.rf.e8973f33679d67ebfc2384a4d92d41b2.jpg,acne
dataset_fyp1\acne\acne-154_jpg.rf.2c23312611bde8ff91dba18be75c8584.jpg,acne
dataset_fyp1\acne\acne-154_jpg.rf.3a3be14df7e5a70b268d664010e1383e.jpg,acne
dataset_fyp1\acne\acne-154_jpg.rf.aa10f14b351652c5646e22544670738c.jpg,acne
dataset_fyp1\acne\acne-155_jpg.rf.96681853cd48ff20eb8c2f0e3f32bdbf.jpg,acne
dataset_fyp1\acne\acne-157_jpg.rf.89ce37476eb116348c9be25774e30727.jpg,acne
dataset_fyp1\acne\acne-157_jpg.rf.cc6a50c4ff1337782a2ddf5e7f7bfc32.jpg,acne
dataset_fyp1\acne\acne-157_jpg.rf.ef7e9923abad787cede0228467c8924a.jpg,acne
dataset_fyp1\acne\acne-158_jpg.rf.9c07578d00524a159f65bff978a79c5a.jpg,acne
dataset_fyp1\acne\acne-159_jpg.rf.0c98a05944768d0fcb2e6ac369394f30.jpg,acne
dataset_fyp1\acne\acne-159_jpg.rf.1e5a07658d750d8ba5461046e276e5f0.jpg,acne
dataset_fyp1\acne\acne-159_jpg.rf.b2c4300722f40c860f40d0f710ce9fd5.jpg,acne
dataset_fyp1\acne\acne-15_jpeg.rf.510f6ab6153777e8087f1439ef39d8cc.jpg,acne
dataset_fyp1\acne\acne-160_jpg.rf.b50f56372db5685c5301c83c555a777a.jpg,acne
dataset_fyp1\acne\acne-161_jpg.rf.78459635cae3ff835cac7159c10bce51.jpg,acne
dataset_fyp1\acne\acne-162_jpg.rf.3e7a961c691682bef628b7784a4dd8e7.jpg,acne
dataset_fyp1\acne\acne-165_jpg.rf.5638c1e3c95295ddca0f268ec7287553.jpg,acne
dataset_fyp1\acne\acne-165_jpg.rf.68256b3b8febcb6314e4ab36bb6375f5.jpg,acne
dataset_fyp1\acne\acne-165_jpg.rf.f89853f8ff0431d5d4f3e64be0275aa5.jpg,acne
dataset_fyp1\acne\acne-166_jpg.rf.a12f2acc98f6a862f6d8b7d28306e6ff.jpg,acne
dataset_fyp1\acne\acne-167_jpg.rf.ca7f225b1a40cb053f3f590585061393.jpg,acne
dataset_fyp1\acne\acne-169_jpg.rf.62e380e19804577ee193ff7a379afca0.jpg,acne
dataset_fyp1\acne\acne-169_jpg.rf.8dbf52d31c7234fa6616be58e4c10cce.jpg,acne
dataset_fyp1\acne\acne-169_jpg.rf.cc770617347b77cbf96905c6139f8098.jpg,acne
dataset_fyp1\acne\acne-16_jpeg.rf.6c53ab16807806bbb5941b31f9a46f57.jpg,acne
dataset_fyp1\acne\acne-16_jpeg.rf.8a203a8e0514ebc66c79ff58b8fb8fca.jpg,acne
dataset_fyp1\acne\acne-16_jpeg.rf.bfdbd387028d27478766a3819de88a1b.jpg,acne
dataset_fyp1\acne\acne-17-_jpeg_jpg.rf.91497c44b17971c34330278005d5613c.jpg,acne
dataset_fyp1\acne\acne-170-_jpeg_jpg.rf.5fa0f117c1f6b65fe61e4a815d9f37c1.jpg,acne
dataset_fyp1\acne\acne-172_jpg.rf.f8ed4f69412f8420d6628e206113b64c.jpg,acne
dataset_fyp1\acne\acne-173-_jpg.rf.bc4c31730fd91a183c9a8fcf2ef471d1.jpg,acne
dataset_fyp1\acne\acne-174_jpg.rf.2d2e25b5d60f61c775266df80d4d4cca.jpg,acne
dataset_fyp1\acne\acne-174_jpg.rf.df4de09ebf38d94532fdf09bddc96b39.jpg,acne
dataset_fyp1\acne\acne-174_jpg.rf.e4db3022680a7d83a8564032513c394f.jpg,acne
dataset_fyp1\acne\acne-175_jpg.rf.612b817fa477d486d22e0f2fb61e01b3.jpg,acne
dataset_fyp1\acne\acne-175_jpg.rf.92d6c6bc280f868472612c909d7401b5.jpg,acne
dataset_fyp1\acne\acne-175_jpg.rf.dacb7ead4056283b79f7d7be33f4cec3.jpg,acne
dataset_fyp1\acne\acne-178_jpg.rf.3c2c36e281c650dd6a48b45bde2a3767.jpg,acne
dataset_fyp1\acne\acne-178_jpg.rf.70e5d5ef09dd6bcae4b1580c229c9f46.jpg,acne
dataset_fyp1\acne\acne-178_jpg.rf.ac87bffd9abfaa365be22b9bfef13f2c.jpg,acne
dataset_fyp1\acne\acne-179_jpg.rf.301829a1a85597f07c7a67eb38ee1970.jpg,acne
dataset_fyp1\acne\acne-179_jpg.rf.b3bde7c655fccb9590b3dcfd338ea42f.jpg,acne
dataset_fyp1\acne\acne-179_jpg.rf.dd6e0d30ba2d751438a0a2a9cf34b6cf.jpg,acne
dataset_fyp1\acne\acne-17_jpeg.rf.51057c9fd58430da022fe8b8e54cbfce.jpg,acne
dataset_fyp1\acne\acne-17_jpeg.rf.b9922046ba7af5c9296c5568c1f3b8c6.jpg,acne
dataset_fyp1\acne\acne-17_jpeg.rf.d8a8858216295393c1acc6282c217654.jpg,acne
dataset_fyp1\acne\acne-182_jpg.rf.003ad78b62a47fe0c61d19fd1df199b5.jpg,acne
dataset_fyp1\acne\acne-182_jpg.rf.7c2e3699a804e6c8aa7910f55b5ca1d5.jpg,acne
dataset_fyp1\acne\acne-182_jpg.rf.a5a32d648c2879bb9c344f40f540aa59.jpg,acne
dataset_fyp1\acne\acne-184_jpg.rf.318f8f393e5e2ddd0b1f78531673ebd0.jpg,acne
dataset_fyp1\acne\acne-184_jpg.rf.68a55036b87dab28bd5152fa3b0be4df.jpg,acne
dataset_fyp1\acne\acne-184_jpg.rf.6d066efaae280add14b1ad11bfd69ee8.jpg,acne
dataset_fyp1\acne\acne-185_jpg.rf.10da71ba0aff1f523fe1c434307b4a58.jpg,acne
dataset_fyp1\acne\acne-185_jpg.rf.3bd7bc00f8d8f6e04e041a9a664f80e2.jpg,acne
dataset_fyp1\acne\acne-185_jpg.rf.3de0a75834e59f15738509f7c7bdeb1c.jpg,acne
dataset_fyp1\acne\acne-187_jpg.rf.a4bc43c7fb75ea9ddc00fa14bf06eda5.jpg,acne
dataset_fyp1\acne\acne-18_jpeg.rf.43644ffe9efa47e9892fa953e7384360.jpg,acne
dataset_fyp1\acne\acne-18_jpeg.rf.5b6c3916caae984b4e628466c6217dc7.jpg,acne
dataset_fyp1\acne\acne-18_jpeg.rf.e1d7462fae95a22cf821ff2dce74fe48.jpg,acne
dataset_fyp1\acne\acne-191_jpg.rf.a0c9751faf17b372142f143e58795b87.jpg,acne
dataset_fyp1\acne\acne-191_jpg.rf.a3f25509212676a658832b172df7d830.jpg,acne
dataset_fyp1\acne\acne-191_jpg.rf.a5434e10e4190dc91e8be25ba95e0057.jpg,acne
dataset_fyp1\acne\acne-193_jpg.rf.2ad0c8779ee966c9c6f99bc869192f68.jpg,acne
dataset_fyp1\acne\acne-193_jpg.rf.4cdb0fbc270b04b91fb4cf23478d5b75.jpg,acne
dataset_fyp1\acne\acne-193_jpg.rf.d56c00bf920d72a203d15f241d2a6155.jpg,acne
dataset_fyp1\acne\acne-194_jpg.rf.1d82dbb7c1fa130420898223ef06720a.jpg,acne
dataset_fyp1\acne\acne-195_jpg.rf.9ed1415752e5ab9b75789c48e2d79cfb.jpg,acne
dataset_fyp1\acne\acne-195_jpg.rf.b5c6f2b08bb2c091d26ea2dc2d0b8d8c.jpg,acne
dataset_fyp1\acne\acne-195_jpg.rf.bcfc34920b8aec75484cddfc069c343c.jpg,acne
dataset_fyp1\acne\acne-196_jpg.rf.1bbd0b777a3e6a95749dfae39c5d0db1.jpg,acne
dataset_fyp1\acne\acne-196_jpg.rf.9929863b00290abde1695ce445e5ab8d.jpg,acne
dataset_fyp1\acne\acne-196_jpg.rf.9fb85af642d154fba4f3ddaac45d98ba.jpg,acne
dataset_fyp1\acne\acne-197-_jpeg_jpg.rf.e93bef2cde0b8c09dfbd3a8daa723d2f.jpg,acne
dataset_fyp1\acne\acne-197_jpg.rf.29fb0fcd25dc272564d20ea7e0c37357.jpg,acne
dataset_fyp1\acne\acne-197_jpg.rf.3e08f172ad3783593d3d6f09b5914df4.jpg,acne
dataset_fyp1\acne\acne-197_jpg.rf.b97d2d4715779a1d8e5126a412a80028.jpg,acne
dataset_fyp1\acne\acne-198-_jpg.rf.e8e19e7333ef872559d70f408f4b7258.jpg,acne
dataset_fyp1\acne\acne-198_jpg.rf.0b2c649818aaa8e3b87b57cb86df5eef.jpg,acne
dataset_fyp1\acne\acne-198_jpg.rf.b908268208c2706886941b806856d5f7.jpg,acne
dataset_fyp1\acne\acne-198_jpg.rf.f46e69016e534491f9bd6a17cc24c414.jpg,acne
dataset_fyp1\acne\acne-199_jpg.rf.049f974ec6c0aab39706ea83ecd2a70a.jpg,acne
dataset_fyp1\acne\acne-199_jpg.rf.471efe501dd703c4c868b80f346eafb1.jpg,acne
dataset_fyp1\acne\acne-199_jpg.rf.bf429fe2c2ffc1d64092b101898b576e.jpg,acne
dataset_fyp1\acne\acne-19_jpeg.rf.08f442979a625bee5a09e346ab0f8185.jpg,acne
dataset_fyp1\acne\acne-19_jpeg.rf.c477f8a3fb32ce9d2d0c804f3124d662.jpg,acne
dataset_fyp1\acne\acne-19_jpeg.rf.fcd27e7983259ab41304042d0246e0ae.jpg,acne
dataset_fyp1\acne\acne-1_jpeg.rf.15f804a683ea47331a17edcd7f8e1a4d.jpg,acne
dataset_fyp1\acne\acne-1_jpeg.rf.19271021285a0573d9c1351cc0a39309.jpg,acne
dataset_fyp1\acne\acne-1_jpeg.rf.71d499580b387527ed6a3240b2b5773d.jpg,acne
dataset_fyp1\acne\acne-201_jpg.rf.3258e50cc995cbcac9d825ea00f33167.jpg,acne
dataset_fyp1\acne\acne-201_jpg.rf.33bf5a4589c45581c1f46b672db62414.jpg,acne
dataset_fyp1\acne\acne-201_jpg.rf.385b133794127449eb734db717cfeeaa.jpg,acne
dataset_fyp1\acne\acne-202_jpg.rf.3cb4d03fc5719519ae3f8319099eddef.jpg,acne
dataset_fyp1\acne\acne-203_jpg.rf.81c85919943866f8e856d6724eae0c3b.jpg,acne
dataset_fyp1\acne\acne-203_jpg.rf.8205fac07a2a50ce7b656cfc7a60c1c6.jpg,acne
dataset_fyp1\acne\acne-203_jpg.rf.e63e6e1e90fa2af37fcdabea7cdefb41.jpg,acne
dataset_fyp1\acne\acne-204_jpg.rf.f33f3ded55db615da9540b2ad9e8ffc3.jpg,acne
dataset_fyp1\acne\acne-205_jpg.rf.38aad590bdaf41afcf089fa97467ed1b.jpg,acne
dataset_fyp1\acne\acne-206_jpg.rf.8c9e6075fe0cfed1632f82cf23a2d9e4.jpg,acne
dataset_fyp1\acne\acne-207_jpg.rf.0adf2a68315ac19b5f0d8e9f3c00532d.jpg,acne
dataset_fyp1\acne\acne-207_jpg.rf.7598b31c83c3bf22d831a520ef1a906e.jpg,acne
dataset_fyp1\acne\acne-207_jpg.rf.8a60c3b59e4a9e0f1cad7e370dd77ea5.jpg,acne
dataset_fyp1\acne\acne-208_jpg.rf.35a3cef9fe70b179687816ff6948a8ca.jpg,acne
dataset_fyp1\acne\acne-208_jpg.rf.48edf57f079bcfbd20b3d9229f482459.jpg,acne
dataset_fyp1\acne\acne-208_jpg.rf.6a0543944c7ec0abf4d3420ef5a48789.jpg,acne
dataset_fyp1\acne\acne-209-_jpeg_jpg.rf.917f8cc6554ba980f5c47281099f874b.jpg,acne
dataset_fyp1\acne\acne-209_jpg.rf.a1dde106a5e5c3cd2b93666e9e226930.jpg,acne
dataset_fyp1\acne\acne-20_jpeg.rf.d401578b451f1b68e8c29f5e4c7f4da1.jpg,acne
dataset_fyp1\acne\acne-210_jpg.rf.27376e50ec325caa3ee3a040244aeaa2.jpg,acne
dataset_fyp1\acne\acne-210_jpg.rf.ba41808779eefd711acb8449a1f57d80.jpg,acne
dataset_fyp1\acne\acne-210_jpg.rf.d8d38da83700ffe8f4204c9b98bfc48f.jpg,acne
dataset_fyp1\acne\acne-211_jpg.rf.897fd14484e689e5a579422312525be5.jpg,acne
dataset_fyp1\acne\acne-212_jpg.rf.48a1f98252e19ab9c0a2fa21cc2cf3dd.jpg,acne
dataset_fyp1\acne\acne-212_jpg.rf.7c6366f80f280c7946181a492194f128.jpg,acne
dataset_fyp1\acne\acne-212_jpg.rf.ecc2ffc6c00fedeff6f1570cd2595525.jpg,acne
dataset_fyp1\acne\acne-213_jpg.rf.34850e9489d91a3b8c38f872710a2753.jpg,acne
dataset_fyp1\acne\acne-213_jpg.rf.a5c1514f9c68cfe06f0f8e16b908c7bd.jpg,acne
dataset_fyp1\acne\acne-213_jpg.rf.e477f2ab61f8007e35213f2d19630dfe.jpg,acne
dataset_fyp1\acne\acne-215_jpg.rf.03e0070c1d7b1425afb2fa5e61365358.jpg,acne
dataset_fyp1\acne\acne-215_jpg.rf.8ba2225c358d32fff5022b3c5fef3b89.jpg,acne
dataset_fyp1\acne\acne-215_jpg.rf.a49ced323a6e167f764e2e2766026041.jpg,acne
dataset_fyp1\acne\acne-216_jpg.rf.229a8cdefe7eae1fa2fdcd7f63036f7e.jpg,acne
dataset_fyp1\acne\acne-217_jpg.rf.50e3f9c13b5969348eeef19d2c81e0ba.jpg,acne
dataset_fyp1\acne\acne-218-_jpg.rf.5eb3093810c98379cdcabdb03d572186.jpg,acne
dataset_fyp1\acne\acne-218_jpg.rf.4034c378c8c2766197d5800adfa2a8f4.jpg,acne
dataset_fyp1\acne\acne-218_jpg.rf.5b69f80528f623394b3e859163966e68.jpg,acne
